facile;Quel est le sport le plus populaire au monde ?;Sport;Le ping pong;Le Basket;Le Football;Le Quidditch;Le Football;1
facile;Quel pays a remporté le plus de médailles d'or aux Jeux Olympiques de 2016 ?;Sport;Chine;Etats-Unis;Russie;France;Etats-Unis;1
facile;Quel joueur de basket-ball est souvent considéré comme le meilleur de tous les temps ?;Sport;Michael Jordan;LeBron James;Stephen Curry;Kobe Bryant;Michael Jordan;1
facile;Quel est le sport de combat japonais où l'on utilise des prises et des projections ?;Sport;Sumo;Judo;Samurai;Kamikaze;Judo;1
facile;Quel pays a remporté la Coupe du Monde de football en 2018 ?;Sport;Argentine;Italie;France;Croatie;France;1
facile;Quelle est la longueur d'un terrain de football en mètres ?;Sport;90;110;100;80;100;1
facile;Quel joueur de football a remporté le plus de Ballons d'Or ?;Sport;Lionel Messi;Cristiano Ronaldo;Pelé;Diego Maradona;Lionel Messi;1
facile;Quelle est la distance à parcourir lors d'un marathon ?;Sport;42;40;50;35;42;1
facile;Quel joueur de football a remporté le Ballon d'Or en 2020 ?;Sport;Messi;Robert Lewandowski.;Mbappé;Ronaldo;Robert Lewandowski.;1
facile;Quelle est la durée réglementaire d'un match de basketball ?;Sport;56;44;48;52;48;1
moyen;Qui est le détenteur du record du monde du saut en hauteur masculin ?;Sport;Usain Bolt;Carl Lewis;Sergey Bubka;Michael Phelps;Sergey Bubka;2
moyen;Quel pays a remporté le plus de médailles d'or lors des Jeux Olympiques d'été de 2016 ?;Sport;Chine;États-Unis;Russie;Allemagne;États-Unis;2
moyen;Quel est le nom du tournoi de tennis qui se joue sur terre battue à Roland-Garros ?;Sport;US Open;Wimbledon;Australian Open;French Open;French Open;2
moyen;Quel est le record du monde du 100 mètres masculin en athlétisme ?;Sport;9,69 secondes;9,79 secondes;9,81 secondes;9,58 secondes;9,58 secondes;2
moyen;Quel est le sport d'équipe le plus populaire aux États-Unis ?;Sport;Baseball;Basketball;Football américain;Hockey sur glace;Football américain;2
moyen;Qui est le joueur de tennis ayant remporté le plus de titres en Grand Chelem dans l'histoire ?;Sport;Rafael Nadal;Roger Federer;Novak Djokovic;Pete Sampras;Roger Federer;2
moyen;Quel pays a remporté la Coupe du Monde de football en 2014 ?;Sport;Brésil;Allemagne;Espagne;Argentine;Allemagne;2
moyen;Quel est le sport dans lequel on utilise une épée, un fleuret et un sabre ?;Sport;Escrime;Judo;Boxe;Sabre laser;Escrime;2
moyen;Quel pays a remporté le plus de titres de la Coupe du Monde de rugby ?;Sport;Nouvelle-Zélande;Australie;Afrique du Sud;Angleterre;Nouvelle-Zélande;2
moyen;Quelle est la distance du marathon olympique ?;Sport;40.155;44.555;50;48.268;42.195;2
difficile;Combien de fois le pilote de Formule 1 Michael Schumacher a-t-il remporté le championnat du monde ?;Sport;5 fois;7 fois;9 fois;12 fois;7 fois;3
difficile;Quel joueur de tennis féminin a remporté le plus de titres du Grand Chelem ?;Sport;Serena Williams;Martina Navratilova;Steffi Graf;Margaret Court;Margaret Court;3
difficile;Quel pays a remporté le plus de médailles d'or aux Jeux Olympiques d'été de 2008 ?;Sport;Chine;Russie;Grande-Bretagne;États-Unis;Chine;3
difficile;Qui est le détenteur du record du monde du 100 mètres féminin en athlétisme ?;Sport;Florence Griffith-Joyner;Marion Jones;Carmelita Jeter;Elaine Thompson-Herah;Florence Griffith-Joyner;3
difficile;Combien de médailles d'or Usain Bolt a-t-il remportées aux Jeux Olympiques de 2008, 2012 et 2016 combinés ?;Sport;6 médailles;8 médailles;9 médailles;11 médailles;9 médailles;3
difficile;Quel est le record du monde du saut à la perche féminin ?;Sport;5,03 mètres;5,06 mètres;5,09 mètres;5,12 mètres;5,03 mètres;3
difficile;Quel pays a remporté la Coupe du Monde de rugby en 2019 ?;Sport;Nouvelle-Zélande;Afrique du Sud;Angleterre;Australie;Afrique du Sud;3
difficile;Quel pays a remporté le plus de titres de la Coupe du Monde de cricket ?;Sport;Australie;Angleterre;Pakistan;Inde;Australie;3
difficile;Quel est le nombre maximum de joueurs sur le terrain dans une équipe de football américain ?;Sport;11;9;7;12;11;3
difficile;Quelle équipe de basketball de la NBA détient le record de la plus longue série de victoires consécutives en saison régulière ?;Sport;Golden State Warriors;Chicago Bulls;Los Angeles Lakers;Boston Celtics;Golden State Warriors;3
facile;"Quel acteur a joué le rôle de James Bond dans le film ""Casino Royale"" (2006) ?";Cinéma;Daniel Craig;Pierce Brosnan;Sean Connery;Roger Moore;Daniel Craig;1
facile;"Quel est le réalisateur du film ""Forrest Gump"" (1994) ?";Cinéma;Robert Zemeckis;Steven Spielberg;Martin Scorsese;Quentin Tarantino;Robert Zemeckis;1
facile;"Quelle actrice a remporté un Oscar pour son rôle dans le film ""La La Land"" (2016) ?";Cinéma;Scarlett Johansson;Meryl Streep;Jennifer Lawrence;Emma Stone;Emma Stone;1
facile;Quel film a remporté l'Oscar du Meilleur Film en 2020 ?;Cinéma;Joker;1917;Parasite;Once Upon a Time... in Hollywood;Parasite;1
facile;"Quel est le nom du personnage principal dans la saga ""Harry Potter"" ?";Cinéma;Hermione Granger;Ron Weasley;Harry Potter;Draco Malfoy;Harry Potter;1
facile;"Qui a réalisé la trilogie ""Le Seigneur des Anneaux"" ?";Cinéma;Peter Jackson;Christopher Nolan;James Cameron;Tim Burton;Peter Jackson;1
facile;"Quel est le titre du premier film de la franchise ""Star Wars"" sorti en 1977 ?";Cinéma;La Revanche des Sith;L'Empire contre-attaque;Un nouvel espoir;Le Retour du Jedi;Un nouvel espoir;1
facile;Quel acteur a joué le rôle de Tony Stark / Iron Man dans le Marvel Cinematic Universe ?;Cinéma;Robert Downey Jr.;Chris Evans;Chris Hemsworth;Mark Ruffalo;Robert Downey Jr.;1
facile;"Quel est le nom du robot intelligent dans le film ""Wall-E"" (2008) des studios Pixar ?";Cinéma;EVE;BOB;CODY;SAM;EVE;1
facile;Quel film de science-fiction réalisé par James Cameron est devenu le film le plus rentable de tous les temps ?;Cinéma;Inception;Titanic;Interstellar;Avatar;Avatar;1
moyen;"Quel acteur a remporté un Oscar pour son rôle dans ""Le Parrain"" ?";Cinéma;Marlon Brando;Robert De Niro;Al Pacino;Jack Nicholson;Marlon Brando;2
moyen;"Quel est le nom du vaisseau spatial dans la saga ""Star Wars"" ?";Cinéma;Millennium Falcon;Death Star;X-wing;TIE Fighter;Millennium Falcon;2
moyen;"Quel réalisateur a réalisé le film ""Pulp Fiction"" en 1994 ?";Cinéma;Martin Scorsese;Quentin Tarantino;Christopher Nolan;Steven Spielberg;Quentin Tarantino;2
moyen;Dans quel film Leonardo DiCaprio incarne-t-il un trader dans le monde de la finance ?;Cinéma;Inception;Shutter Island;Titanic;The Wolf of Wall Street;The Wolf of Wall Street;2
moyen;Quel est le plus grand succès au box-office de tous les temps ?;Cinéma;Avengers: Endgame;Avatar;Titanic;Avengers: Infinity War;Avatar;2
moyen;Quel acteur a remporté l'Oscar du meilleur acteur en 2021 ?;Cinéma;Rami Malek;Gary Oldman;Chadwick Boseman;Joaquin Phoenix;Chadwick Boseman;2
moyen;"Quel réalisateur a réalisé le film ""Inception"" en 2010 ?";Cinéma;Steven Spielberg;Quentin Tarantino;Martin Scorsese;Christopher Nolan;Christopher Nolan;2
moyen;Dans quel film Sylvester Stallone incarne-t-il le célèbre personnage Rocky Balboa ?;Cinéma;Rocky;Rambo;The Expendables;Escape Plan;Rocky;2
moyen;"Qui a réalisé le film ""La La Land"" en 2016 ?";Cinéma;Damien Chazelle;David Fincher;Alejandro González Iñárritu;Alfonso Cuarón;Damien Chazelle;2
moyen;Dans quel film Matt Damon incarne-t-il un astronaute abandonné sur Mars ?;Cinéma;Interstellar;Gravity;The Martian;Moon;The Martian;2
difficile;Quel acteur a remporté l'Oscar du meilleur acteur en 2022 ?;Cinéma;Joaquin Phoenix;Anthony Hopkins;Chadwick Boseman;Leonardo DiCaprio;Anthony Hopkins;3
difficile;"Qui a réalisé le film d'animation ""Le Roi Lion"" en 1994 ?";Cinéma;John Lasseter;Hayao Miyazaki;Andrew Stanton;Roger Allers et Rob Minkoff;Roger Allers et Rob Minkoff;3
difficile;Quel film a remporté l'Oscar du meilleur film en 2021 ?;Cinéma;Nomadland;The Trial of the Chicago 7;Minari;Promising Young Woman;Nomadland;3
difficile;"Quel acteur joue le rôle de Batman dans le film ""The Dark Knight"" sorti en 2008 ?";Cinéma;Robert Pattinson;Christian Bale;Ben Affleck;Michael Keaton;Christian Bale;3
difficile;"Quel est le réalisateur du film ""The Shawshank Redemption"" sorti en 1994 ?";Cinéma;Frank Darabont;Martin Scorsese;Quentin Tarantino;David Fincher;Frank Darabont;3
difficile;"Qui a réalisé le film d'animation ""Toy Story"" en 1995 ?";Cinéma;Hayao Miyazaki;Andrew Stanton;John Lasseter;Pete Docter;John Lasseter;3
difficile;"Qui a réalisé le film ""The Godfather"" sorti en 1972 ?";Cinéma;Martin Scorsese;Steven Spielberg;Francis Ford Coppola;Alfred Hitchcock;Francis Ford Coppola;3
difficile;"Quel acteur joue le rôle de Luke Skywalker dans la saga ""Star Wars"" ?";Cinéma;Mark Hamill;Harrison Ford;Carrie Fisher;Anthony Daniels;Mark Hamill;3
difficile;"Dans quel film Clint Eastwood incarne-t-il l'inspecteur ""Dirty Harry"" Callahan ?";Cinéma;Unforgiven;Gran Torino;Dirty Harry;The Good, the Bad and the Ugly;Dirty Harry;3
difficile;Dans quel film Martin Scorsese n'a-t-il PAS dirigé Robert De Niro ?;Cinéma;Taxi Driver;Raging Bull;Goodfellas;The Departed;The Departed;3
facile;Quel artiste a chanté la chanson "Shape of You" ?;Musique;Ed Sheeran;Justin Bieber;Bruno Mars;Sam Smith;Ed Sheeran;1
facile;Quelle est la nationalité de Beyoncé ?;Musique;Américaine;Britannique;Australienne;Canadienne;Américaine;1
facile;Quelle est la chanson la plus vendue de tous les temps ?;Musique;"White Christmas";"Bohemian Rhapsody";"We Will Rock You";"Thriller";"White Christmas";1
facile;Quel groupe de rock a interprété la chanson "Stairway to Heaven" ?;Musique;Led Zeppelin;AC/DC;Guns N' Roses;The Rolling Stones;Led Zeppelin;1
facile;Quel est le titre de la chanson thème du film "Titanic" interprétée par Céline Dion ?;Musique;"My Heart Will Go On";"I Will Always Love You";"Unchained Melody";"Can't Help Falling in Love";"My Heart Will Go On";1
facile;Quel artiste a chanté la chanson "Happy" ?;Musique;Pharrell Williams;Katy Perry;Taylor Swift;Bruno Mars;Pharrell Williams;1
facile;Quelle est la chanteuse connue pour ses hits "Rolling in the Deep" et "Hello" ?;Musique;Adele;Beyoncé;Rihanna;Katy Perry;Adele;1
facile;Quel groupe de musique a chanté la chanson "Bohemian Rhapsody" ?;Musique;Queen;The Beatles;Led Zeppelin;AC/DC;Queen;1
facile;Quelle chanteuse a remporté le Grammy Award de l'album de l'année en 2020 pour son album "When We All Fall Asleep, Where Do We Go?" ?;Musique;Billie Eilish;Taylor Swift;Ariana Grande;Lizzo;Billie Eilish;1
facile;Quel est le titre de la chanson interprétée par John Lennon qui parle de l'espoir d'un monde meilleur ?;Musique;"Imagine";"What's Going On";"Blowin' in the Wind";"Heal the World";"Imagine";1
moyen;Quel groupe de musique a chanté la chanson "Hotel California" ?;Musique;Eagles;Queen;The Rolling Stones;ABBA;Eagles;2
moyen;Quel artiste a interprété la chanson "Purple Rain" ?;Musique;Prince;Michael Jackson;Stevie Wonder;Elvis Presley;Prince;2
moyen;Quelle chanteuse a remporté le Grammy Award de l'enregistrement de l'année en 2020 pour sa chanson "Bad Guy" ?;Musique;Billie Eilish;Taylor Swift;Ariana Grande;Lizzo;Billie Eilish;2
moyen;Quel est le titre de la chanson interprétée par Elvis Presley qui parle d'un amour inconditionnel ?;Musique;"Can't Help Falling in Love";"Love Me Tender";"Heartbreak Hotel";"Suspicious Minds";"Can't Help Falling in Love";2
moyen;Quel groupe de musique est connu pour son tube "Smoke on the Water" ?;Musique;Deep Purple;Led Zeppelin;Black Sabbath;Pink Floyd;Deep Purple;2
moyen;Quelle est la nationalité du groupe de musique ABBA ?;Musique;Suédoise;Britannique;Norvégienne;Danoise;Suédoise;2
moyen;Quelle chanteuse a interprété la chanson "Rolling in the Deep" ?;Musique;Adele;Beyoncé;Rihanna;Katy Perry;Adele;2
moyen;Quel groupe de musique a interprété la chanson "Don't Stop Believin'" ?;Musique;Journey;Guns N' Roses;AC/DC;Bon Jovi;Journey;2
moyen;Quelle chanson a été interprétée par John Lennon pour promouvoir la paix dans le monde ?;Musique;"Imagine";"Let It Be";"We Are the World";"Heal the World";"Imagine";2
moyen;Quel est le nom du groupe de rock britannique connu pour les chansons "Don't Stop Me Now" et "Bohemian Rhapsody" ?;Musique;Queen;The Beatles;Led Zeppelin;AC/DC;Queen;2
difficile;Quel est le titre de la chanson interprétée par Michael Jackson qui parle de l'environnement et de la préservation de la planète ?;Musique;"Earth Song";"Thriller";"Billie Jean";"Beat It";"Earth Song";3
difficile;Quel artiste a chanté la chanson "Imagine" ?;Musique;John Lennon;Bob Dylan;David Bowie;Elton John;John Lennon;3
difficile;Quelle chanson a été interprétée par Freddie Mercury lors du concert Live Aid de 1985 ?;Musique;"Bohemian Rhapsody";"We Will Rock You";"Radio Ga Ga";"Don't Stop Me Now";"Bohemian Rhapsody";3
difficile;Quel est le titre de la chanson interprétée par Bob Marley qui parle de l'unité et de la paix entre les peuples ?;Musique;"One Love";"No Woman, No Cry";"Redemption Song";"Stir It Up";"One Love";3
difficile;Quel groupe de musique a interprété la chanson "Kashmir" ?;Musique;Led Zeppelin;Pink Floyd;The Rolling Stones;Black Sabbath;Led Zeppelin;3
difficile;Quelle chanteuse a remporté le Grammy Award de l'album de l'année en 2019 pour son album "Golden Hour" ?;Musique;Kacey Musgraves;Taylor Swift;Ariana Grande;Dua Lipa;Kacey Musgraves;3
